ID	SCT_ID	SCT_FSN	Laterality_ID	Laterality	Short_Code	Multi_Factor	Status	Deprecate_Reason	Diagnostic	Interventional	Substitute	Preferred	Synonym1	Synonym2	Synonym3
21	169070004	CT of abdomen			CABWC		R	I	Y	N		CT Abdomen with & without contrast			
22	420017001	Computed tomography angiography of aortic arch and carotid arteries (procedure)	51440002	Right and left (qualifier value)	CACDB	1	A		Y	N		CT Angio aortic arch and carotid Both	Aortic arch and carotid CT Angio Both		
23	183861000000108	CT angiography of aortic arch and carotid arteries			CACDB		I	S	Y	N	CACDB	CT Angiogram Aortic Arch and Carotids	Aortic Arch/Carotid CT Angio	Carotid Aortic Arch Angio	
24	77477000	Computerised tomography			CACJB	2	I	X	Y	N	CACJB	CT Acromioclavicular joint Both	Acromioclavicular joint CT Both		
25	77477000	Computerised tomography			CACJL	1	I	X	Y	N	CACJL	CT Acromioclavicular joint Lt	Acromioclavicular joint CT Lt		
26	77477000	Computerised tomography			CACJR	1	I	X	Y	N	CACJR	CT Acromioclavicular joint Rt	Acromioclavicular joint CT Rt		
27	182961000000105	CT angiography of coronary arteries			CACRY		I	S	Y	N	CACRY	CT Cardiac Angiogram Coronary	Cardiac Angio CT	CT Angio Cardiac	
28	419545005	Computed tomography angiography of coronary arteries (procedure)			CACRY	1	A		Y	N		CT Cardiac angiogram coronary	Cardiac Angio CT	Coronary Angio CT	
29	241550007	Computed tomography of adrenals (procedure)	51440002	Right and left (qualifier value)	CADRB	2	A		Y	N		CT Adrenal Both	Adrenal CT Both		
30	241550007	CT of adrenal gland			CADRBC	1	I	X	Y	N	CADRBC	CT Adrenal with contrast Both	Adrenal CT with contrast Both		
31	241550007	CT of adrenal gland			CADRC		I	L	Y	N	CADRBC	CT Adrenals With Contrast			
32	241550007	CT of adrenal gland			CADWC		R	I	Y	N		CT Adrenals with & without contrast			
33	182981000000101	CT angiography of intracranial artery			CAICN		I	S	Y	N	CAICN	CT Angiogram Intracranial	Intracranial CT Angio		
34	419949007	Computed tomography angiography of intracranial artery (procedure)			CAICN	1	A		Y	N		CT Angiogram intracranial	Intracranial CT Angio		
35	419089004	Computed tomography angiography of lower limb artery (procedure)	51440002	Right and left (qualifier value)	CALLB	2	A		Y	N		CT Angiogram lower limb Both	Lower limb CT Angio Both		
36	182991000000104	CT angiography of lower limb artery			CALLB		I	S	Y	N	CALLB	CT Angiogram Lower Limbs	Lower Limbs CT Angio		
37	241575006	Computed tomography of ankle (procedure)	51440002	Right and left (qualifier value)	CANKB	2	I	X	Y	N	CANKB	CT Ankle Both	Ankle CT Both		
38	241575006	Computed tomography of ankle (procedure)	7771000	Left (qualifier value)	CANKL	1	I	X	Y	N	CANKL	CT Ankle Lt	Ankle CT Lt		
39	241575006	Computed tomography of ankle (procedure)	24028007	Right (qualifier value)	CANKR	1	I	X	Y	N	CANKR	CT Ankle Rt	Ankle CT Rt		
40	183001000000100	CT angiography of pulmonary artery			CAPUG		I	S	Y	N	CAPUG	CT Angiogram Pulmonary	Pulmonary CT Angio		
41	419225001	Computed tomography angiography of pulmonary artery (procedure)			CAPUG	1	A		Y	N		CT Angiogram pulmonary	Pulmonary CT Angio		
42	419559003	CT angiography of renal artery			CAREA	1	I	X	Y	N	CAREA	CT Angiogram renal & abdominal	Renal & gut CT Angio		
43	183011000000103	CT angiography of renal artery			CAREA		I	S	Y	N	CAREA	CT Angiogram Renal/Abdominal	Renal/Gut CT Angio		
44	77477000	Computerised tomography			CART	1	I	X	Y	N	CART	CT Angiogram	CT Arteriogram	Angiogram CT	Arteriogram CT
45	77477000	Computerised tomography			CASPNN	1	I	X	N	Y	CASPNN	CT Guided aspiration	Aspiration CT guided		
46	363680008	radiographic imaging procedure			CASPRN		I	X	Y	Y	CASPNN	CT Guided aspiration	Aspiration CT guided		
47	419277007	Computed tomography angiography of upper limb artery (procedure)	51440002	Right and left (qualifier value)	CAULB	2	A		Y	N		CT Angiogram upper limb Both	Upper limb CT Angio Both		
48	183021000000109	CT angiography of upper limb artery			CAULB		I	S	Y	N	CAULB	CT Angiogram Upper Limbs	Upper Limbs CT Angio		
49	193351000000102	CT cholangiogram			CBILI		I	S	Y	N	CBILI	CT Cholangiogram	Cholangiogram CT		
50	419995000	Computed tomography cholangiogram (procedure)			CBILI	1	A		Y	N		CT Cholangiogram	Cholangiogram CT		
51	363680008	radiographic imaging procedure			CBIOPB		I	X	Y	N	CBIOPB	CT Guided biopsy	Biopsy CT guided		
52	77477000	Computerised tomography			CBIOPB	1	I	X	Y	N	CBIOPB	CT Guided biopsy	Biopsy CT guided		
53	77477000	Computerised tomography			CBONEB	1	I	X	Y	N	CBONEB	CT Guided biopsy bone	Bone biopsy CT guided		
54	241545001	CT of brachial plexus			CBPLC		I	L	Y	N	CBPLXC	CT Brachial Plexus With Contrast			
55	241545001	Computed tomography of brachial plexus (procedure)			CBPLX	1	A		Y	N		CT Brachial plexus	Brachial plexus CT		
56	241545001	CT of brachial plexus			CBPLXC	1	I	X	Y	N	CBPLXC	CT Brachial plexus with contrast	Brachial plexus CT with contrast		
57	408754009	CT of head			CBSSK	1	I	X	Y	N	CBSSK	CT Base of skull	Base of skull CT	Skull base CT	
58	408754009	CT of head			CBSSKC	1	I	X	Y	N	CBSSKC	CT Base of skull with contrast	Base of skull CT with contrast	Skull base CT with contrast	
59	183971000000109	CT of chest and abdomen			CCABC		I	S	Y	N	CCABC	CT Chest Without Cont./Abdo With Cont.			
60	418891003	Computed tomography of chest and abdomen (procedure)			CCABC	2	R	I	Y	N		CT Thorax without Cont & Abdo with Cont	CT Chest without Cont & Abdo with Cont		
61	418891003	Computed tomography of chest and abdomen (procedure)			CCABD	2	A		Y	N		CT Thorax and abdomen	CT Chest and abdomen	Thorax and abdomen CT	Chest and abdomen CT
62	418891003	CT of chest and abdomen			CCABDC	2	I	X	Y	N	CCABDC	CT Thorax & abdomen with contrast	CT Chest & abdomen with contrast		
63	420145009	Computed tomography of calcaneum (procedure)	51440002	Right and left (qualifier value)	CCALB	2	A		Y	N		CT Calcaneus Both	Calcaneus CT Both		
64	183931000000107	CT of calcaneum			CCALL		I	S	Y	N	CCALL	CT Calcaneum Lt	Calcaneum CT Lt		
65	420145009	Computed tomography of calcaneum (procedure)	7771000	Left (qualifier value)	CCALL	1	I	X	Y	N	CCALL	CT Calcaneus Lt	Calcaneus CT Lt		
66	183931000000107	CT of calcaneum			CCALR		I	S	Y	N	CCALR	CT Calcaneum Rt	Calcaneum CT Rt		
67	420145009	Computed tomography of calcaneum (procedure)	24028007	Right (qualifier value)	CCALR	1	I	X	Y	N	CCALR	CT Calcaneus Rt	Calcaneus CT Rt		
68	183981000000106	CT of chest, abdomen and pelvis			CCAPC		I	L	Y	N	CCHAPC	CT Chest/Abdo/Pelvis/ With Contrast			
69	182961000000105	CT angiography of coronary arteries			CCASC		I	S	Y	N	CCASC	CT Cardiac Cor Artery Calcium Scoring 	Coronary Artery Calcium Scoring CT		
70	419545005	CT angiography of coronary arteries			CCASC	1	I	X	Y	N	CCASC	CT Cardiac Cor artery calcium scoring 	Coronary artery calcium scoring CT		
71	183971000000109	CT of chest and abdomen			CCHAB		I	L	Y	N	CCABD	CT Chest/Abdo	Chest/Abdo CT		
72	183971000000109	CT of chest and abdomen			CCHAC		I	L	Y	N	CCABDC	CT Chest/Abdo With Contrast			
73	183981000000106	CT of chest, abdomen and pelvis			CCHAP		I	S	Y	N	CCHAP	CT Chest/Abdo/Pelvis	Chest/Abdo/Pelvis CT		
74	418023006	Computed tomography of chest, abdomen and pelvis (procedure)			CCHAP	3	A		Y	N		CT Thorax abdomen and pelvis	CT Chest abdomen and pelvis	Thorax Abdo and pelvis CT	Chest and abdo pelvis CT
75	418023006	CT of chest, abdomen and pelvis			CCHAPC	3	I	X	Y	N	CCHAPC	CT Thorax & abdo & pelvis with contrast	CT Chest & abdo & pelvis with contrast	Thorax & abdomen & pelvis & contrast CT	Chest & abdomen & pelvis & contrast CT
76	169069000	CT of chest			CCHEC		I	L	Y	N	CCHESC	CT Chest with contrast			
77	169069000	Computed tomography of chest (procedure)			CCHES	1	A		Y	N		CT Thorax	CT Chest	Thorax CT	Chest CT
78	183071000000108	CT and biopsy of chest			CCHESB		I	S	Y	N	CCHESB	CT Chest and Biopsy	Biopsy Chest CT	Chest Biopsy CT	
79	418787001	CT and biopsy of chest			CCHESB	1	I	X	Y	N	CCHESB	CT Guided biopsy thorax	CT Guided biopsy chest	Chest biopsy CT guided	Thorax biopsy CT guided
80	169069000	CT of chest			CCHESC	1	I	X	Y	N	CCHESC	CT Thorax with contrast	CT Chest with contrast		
81	183081000000105	CT and drainage of chest			CCHESD		I	S	N	Y	CCHESD	CT Guided drainage chest	Drainage Chest CT	Chest Drainage CT	
82	418487002	CT and drainage of chest			CCHESD	1	I	X	N	Y	CCHESD	CT Guided drainage thorax	CT Guided drainage chest	Thorax drainage CT guided	Chest drainage CT guided
83	183061000000101	CT and aspiration of chest			CCHESN		I	S	Y	Y	CCHETN	CT Chest and Aspiration	Aspiration Chest CT	Chest Aspiration CT	
84	183071000000108	CT and biopsy of chest			CCHETB		I	S	Y	N	CCHETB	CT Guided Biopsy Thorax	Thorax Biopsy CT Guided	Biopsy Thorax CT Guided	
85	418787001	CT and biopsy of chest			CCHETB	1	I	I	Y	N	CCHESB	CT Guided biopsy thorax	Thorax biopsy CT guided	Biopsy thorax CT guided	Chest biopsy CT guided
86	183061000000101	CT and aspiration of chest			CCHETN		I	S	Y	Y	CCHETN	CT Guided Aspiration Thorax	Thorax Aspiration CT Guided	Aspiration chest CT guided	Chest aspiration CT guided
87	417911000	CT and aspiration of chest			CCHETN	1	I	X	N	Y	CCHETN	CT Guided aspiration thorax	Thorax aspiration CT guided	Aspiration chest CT guided	Chest aspiration CT guided
88	241541005	High resolution CT of lungs			CCHHR		I	L	Y	N	CHRC	CT Chest high resolution	Chest high resolution CT	High Resolution Chest CT	
89	408754009	CT of head			CCISTT	1	I	X	Y	N	CCISTT	CT Cisternography	Cisternography CT		
90	77477000	Computerised tomography			CCLAB	1	I	X	Y	N	CCLAB	CT Clavicle Both	Clavicle CT Both		
91	77477000	Computerised tomography			CCLAL	1	I	X	Y	N	CCLAL	CT Clavicle Lt	Clavicle CT Lt		
92	77477000	Computerised tomography			CCLAR	1	I	X	Y	N	CCLAR	CT Clavicle Rt	Clavicle CT Rt		
93	241577003	CT of spine			CCOCX	1	I	X	Y	N	CCOCX	CT Coccyx	Coccyx CT		
94	408754009	CT of head			CCPP	1	I	X	N	Y	CCPP	CT Cranioplasty planning	Cranioplasty planning CT		
95	241577003	CT of spine			CCSFJJ	1	I	X	N	Y	CCSFJJ	CT Facet joint injection cervical	Cervical facet joint injection CT 		
96	241578008	CT of cervical spine			CCSPC		I	L	Y	N	CCSPNC	CT Spine Cervical With Contrast			
97	77477000	Computerised tomography			CCSPDC	1	I	X	Y	N	CCSPDC	CT Spine cervical discogram	Cervical discogram CT		
98	241578008	Computed tomography of cervical spine (procedure)			CCSPN	1	A		Y	N		CT Spine cervical	Cervical spine CT		
99	241578008	CT of cervical spine			CCSPNC	1	I	X	Y	N	CCSPNC	CT Spine cervical with contrast	Cervical spine CT with contrast		
100	241590005	Computed tomography myelogram of cervical region (procedure)			CCSPNT	1	A		Y	N		CT Spine cervical myelogram	Cervical myelogram CT	Myelogram cervical CT	
101	408754009	CT of head			CDCGB	2	I	X	Y	N	CDCGB	CT Dacrocystogram Both	Dacrocystogram CT Both		
102	408754009	CT of head			CDCGL	1	I	X	Y	N	CDCGL	CT Dacrocystogram Lt	Dacrocystogram CT Lt		
103	408754009	CT of head			CDCGR	1	I	X	Y	N	CDCGR	CT Dacrocystogram Rt	Dacrocystogram CT Rt		
104	22059005	Computerized tomography, bone density study (procedure)			CDEXA	1	A		Y	N		CT Bone densitometry	DEXA CT	CT BMD	BMD CT
105	363680008	radiographic imaging procedure			CDRAID		I	X	N	Y	CDRAID	CT Guided drainage	Drainage CT guided		
106	77477000	Computerised tomography			CDRAID	1	I	X	N	Y	CDRAID	CT Guided drainage	Drainage CT guided		
107	77477000	Computerised tomography			CEARP	1	I	X	N	Y	CEARP	CT Planning endovascular aneurysm repair	CT EVAR	EVAR CT	
108	241566009	Computed tomography of elbow (procedure)	51440002	Right and left (qualifier value)	CELBB	2	A		Y	N		CT Elbow Both	Elbow CT Both		
109	241566009	Computed tomography of elbow (procedure)	7771000	Left (qualifier value)	CELBL	1	I	X	Y	N	CELBL	CT Elbow Lt	Elbow CT Lt		
110	241566009	Computed tomography of elbow (procedure)	24028007	Right (qualifier value)	CELBR	1	I	X	Y	N	CELBR	CT Elbow Rt	Elbow CT Rt		
111	363680008	radiographic imaging procedure			CELYS		I	X	Y	N	CELYS	CT Enteroclysis			
112	77477000	Computerised tomography			CELYS	1	I	X	Y	N	CELYS	CT Enteroclysis	Enteroclysis CT		
113	77477000	Computerised tomography			CEMBOE	1	I	X	N	Y	CEMBOE	CT Guided embolisation	Embolisation CT guided		
114	183881000000104	CT of abdomen and pelvis			CENEM		I	S	Y	N	CENEM	CT Contrast Enema	Enema CT		
115	419394006	CT of abdomen and pelvis			CENEM	1	I	X	Y	N	CENEM	CT Contrast enema	Enema CT		
116	77477000	Computerised tomography			CEPIDJ	1	I	X	N	Y	CEPIDJ	CT Guided epidural injection	Epidural injection CT guided		
117	169067003	CT of face			CFACC		I	L	Y	N	CFACIC	CT Face With Contrast			
118	184001000000103	CT of facial bones			CFACE		I	S	Y	N	CFACE	CT Facial Bones	Facial Bones CT		
119	419673001	Computed tomography of facial bones (procedure)			CFACE	1	A		Y	N		CT Facial bones	Facial bones CT		
120	169067003	CT of face			CFACES		I	L	Y	N	CFACI	CT Face	Face CT	Face CT	
121	169067003	Computed tomography of face (procedure)			CFACI	1	A		Y	N		CT Face	Face CT		
122	169067003	CT of face			CFACIC	1	I	X	Y	N	CFACIC	CT Face with contrast	Face CT with contrast		
123	241567000	Computed tomography of forearm (procedure)	51440002	Right and left (qualifier value)	CFARB	2	A		Y	N		CT Forearm Both	Forearm CT Both		
124	241567000	CT of forearm			CFARBC	2	I	X	Y	N	CFARBC	CT Forearm with contrast Both	Forearm CT with contrast Both		
125	241567000	Computed tomography of forearm (procedure)	7771000	Left (qualifier value)	CFARL	1	I	X	Y	N	CFARL	CT Forearm Lt	Forearm CT Lt		
126	241567000	CT of forearm			CFARLC	1	I	X	Y	N	CFARLC	CT Forearm with contrast Lt	Forearm CT with contrast Lt		
127	241567000	Computed tomography of forearm (procedure)	24028007	Right (qualifier value)	CFARR	1	I	X	Y	N	CFARR	CT Forearm Rt	Forearm CT Rt		
128	241567000	CT of forearm			CFARRC	1	I	X	Y	N	CFARRC	CT Forearm with contrast Rt	Forearm CT with contrast Rt		
129	241576007	CT of foot			CFFOB	2	I	X	Y	N	CFFOB	CT Forefoot Both	Forefoot CT Both		
130	241576007	CT of foot			CFFOL	1	I	X	Y	N	CFFOL	CT Forefoot Lt	Forefoot CT Lt		
131	241576007	CT of foot			CFFOR	1	I	X	Y	N	CFFOR	CT Forefoot Rt	Forefoot CT Rt		
132	241569002	CT of hand			CFINB	2	I	X	Y	N	CFINB	CT Fingers Both	Fingers CT Both		
133	241569002	CT of hand			CFINL	1	I	X	Y	N	CFINL	CT Fingers Lt	Fingers CT Lt		
134	241569002	CT of hand			CFINR	1	I	X	Y	N	CFINR	CT Fingers Rt	Fingers CT Rt		
135	185351000000100	CT of floor of mouth			CFLMC		I	L	Y	N	CFLMOC	CT Floor Of Mouth With Contrast			
136	185351000000100	CT of floor of mouth			CFLMO		I	S	Y	N	CFLMO	CT Floor Of Mouth	Floor Of Mouth CT	Mouth (Floor) CT	
137	418581003	Computed tomography of floor of mouth (procedure)			CFLMO	1	A		Y	N		CT Floor of mouth	Floor of mouth CT	Mouth floor CT	
138	418581003	CT of floor of mouth			CFLMOC	1	I	X	Y	N	CFLMOC	CT Floor of mouth with contrast	Floor of mouth CT with contrast	Mouth floor CT with contrast	
139	241567000	CT of forearm			CFOLC		I	L	Y	N	CFARLC	CT Forearm With Contrast Lt			
140	241576007	Computed tomography of foot (procedure)	51440002	Right and left (qualifier value)	CFOOB	2	A		Y	N		CT Foot Both	Foot CT Both		
141	241576007	Computed tomography of foot (procedure)	7771000	Left (qualifier value)	CFOOL	1	A		Y	N		CT Foot Lt	Foot CT Lt		
142	241576007	Computed tomography of foot (procedure)	24028007	Right (qualifier value)	CFOOR	1	A		Y	N		CT Foot Rt	Foot CT Rt		
143	241567000	CT of forearm			CFORC		I	L	Y	N	CFARRC	CT Forearm With Contrast Rt			
144	241567000	CT of forearm			CFORL		I	L	Y	N	CFARL	CT Forearm Lt	Forearm CT Lt		
145	241567000	CT of forearm			CFORR		I	L	Y	N	CFARR	CT Forearm Rt	Forearm CT Rt		
146	241569002	Computed tomography of hand (procedure)	51440002	Right and left (qualifier value)	CHANB	2	A		Y	N		CT Hand Both	Hand CT Both		
147	241569002	Computed tomography of hand (procedure)	7771000	Left (qualifier value)	CHANL	1	I	X	Y	N	CHANL	CT Hand Lt	Hand CT Lt		
148	241569002	Computed tomography of hand (procedure)	24028007	Right (qualifier value)	CHANR	1	I	X	Y	N	CHANR	CT Hand Rt	Hand CT Rt		
149	241576007	CT of foot			CHFOB	2	I	X	Y	N	CHFOB	CT Subtalar joints Both	CT Hindfoot Both	Hindfoot CT Both	Subtalar CT Both
150	241576007	CT of foot			CHFOL	1	I	X	Y	N	CHFOL	CT Subtalar joints Lt	CT Hindfoot Lt	Hindfoot CT Lt	Subtalar CT Lt
151	241576007	CT of foot			CHFOR	1	I	X	Y	N	CHFOR	CT Subtalar joints Rt	CT Hindfoot Rt	Hindfoot CT Rt	Subtalar CT Rt
152	241571002	CT of hip			CHICL		I	L	Y	N	CHIPLC	CT Hip With Contrast Lt			
153	241571002	CT of hip			CHICR		I	L	Y	N	CHIPRC	CT Hip With Contrast Rt			
154	241571002	Computed tomography of hip (procedure)	51440002	Right and left (qualifier value)	CHIPB	2	A		Y	N		CT Hip Both	Hip CT Both		
155	241571002	CT of hip			CHIPBC	1	I	X	Y	N	CHIPBC	CT Hip with contrast Both	Hip CT with contrast Both		
156	241571002	CT of hip			CHIPC		I	L	Y	N	CHIPBC	CT Hips With Contrast			
157	241571002	Computed tomography of hip (procedure)	7771000	Left (qualifier value)	CHIPL	1	I	X	Y	N	CHIPL	CT Hip Lt	Hip CT Lt		
158	241571002	CT of hip			CHIPLC	1	I	X	Y	N	CHIPLC	CT Hip with contrast Lt	Hip CT with contrast Lt		
159	241571002	Computed tomography of hip (procedure)	24028007	Right (qualifier value)	CHIPR	1	I	X	Y	N	CHIPR	CT Hip Rt	Hip CT Rt		
160	241571002	CT of hip			CHIPRC	1	I	X	Y	N	CHIPRC	CT Hip with contrast Rt	Hip CT with contrast Rt		
161	241541005	High resolution CT of lungs			CHRC	1	I	X	Y	N	CHRC	CT Chest high resolution	Chest high resolution CT	High Resolution Chest CT	
162	241521000	CT of Internal auditory meatus			CIAMA		I	L	Y	N	CAAMBC	CT IAM with air contrast			
163	241521000	Computed tomography of internal auditory meatus (procedure)	51440002	Right and left (qualifier value)	CIAMB	1	A		Y	N		CT Internal auditory meatus Both	Internal auditory meatus CT	IAM CT	CT IAM
164	241521000	CT of Internal auditory meatus			CIAMBC	1	I	X	Y	N	CIAMBC	CT IAM with contrast	IAM CT with contrast		
165	241521000	CT of Internal auditory meatus			CIAMBT	1	I	X	Y	N	CIAMBT	CT IAM with intrathecal contrast	IAM CT with intrathecal contrast		
166	241521000	CT of Internal auditory meatus			CIAMC		I	L	Y	N	CIAMBC	CT IAM with contrast			
167	241521000	CT of Internal auditory meatus			CIAMS		I	L	Y	N	CIAMB	CT Internal Auditory Meatii	Internal auditory meatii CT	IAM CT	CT IAM
168	241521000	CT of Internal auditory meatus			CIAMST		I	L	Y	N	CIAMBT	CT IAM With Intrathecal Contrast			
169	241588009	Computed tomography arthrogram of ankle (procedure)	51440002	Right and left (qualifier value)	CJANB	2	I	X	Y	N	CJANB	CT Arthrogram ankle Both	Ankle CT arthrogram Both		
170	241588009	Computed tomography arthrogram of ankle (procedure)	7771000	Left (qualifier value)	CJANL	1	I	X	Y	N	CJANL	CT Arthrogram ankle Lt	Ankle CT arthrogram Lt		
171	241588009	Computed tomography arthrogram of ankle (procedure)	24028007	Right (qualifier value)	CJANR	1	I	X	Y	N	CJANR	CT Arthrogram ankle Rt	Ankle CT arthrogram Rt		
172	77477000	Computerised tomography			CJELB	2	I	X	Y	N	CJELB	CT Arthrogram elbow Both	Elbow CT Arthrogram Both		
173	77477000	Computerised tomography			CJELL	1	I	X	Y	N	CJELL	CT Arthrogram elbow Lt	Elbow CT Arthrogram Lt		
174	77477000	Computerised tomography			CJELR	1	I	X	Y	N	CJELR	CT Arthrogram elbow Rt	Elbow CT Arthrogram Rt		
175	241586008	Computed tomography arthrogram of hip (procedure)	51440002	Right and left (qualifier value)	CJHIB	2	I	X	Y	N	CJHIB	CT Arthrogram hip Both	Hip CT arthrogram Both		
176	241586008	Computed tomography arthrogram of hip (procedure)	7771000	Left (qualifier value)	CJHIL	1	I	X	Y	N	CJHIL	CT Arthrogram hip Lt	Hip CT arthrogram Lt		
177	241586008	Computed tomography arthrogram of hip (procedure)	24028007	Right (qualifier value)	CJHIR	1	I	X	Y	N	CJHIR	CT Arthrogram hip Rt	Hip CT arthrogram Rt		
178	241587004	Computed tomography arthrogram of knee (procedure)	51440002	Right and left (qualifier value)	CJKNB	2	I	X	Y	N	CJKNB	CT Arthrogram knee Both	Knee CT arthrogram Both		
179	241587004	Computed tomography arthrogram of knee (procedure)	7771000	Left (qualifier value)	CJKNL	1	I	X	Y	N	CJKNL	CT Arthrogram knee Lt	Knee CT arthrogram Lt		
180	241587004	Computed tomography arthrogram of knee (procedure)	24028007	Right (qualifier value)	CJKNR	1	I	X	Y	N	CJKNR	CT Arthrogram knee Rt	Knee CT arthrogram Rt		
181	183361000000103	CT arthrogram of metacarpophalangeal joint			CJMCP		I	S	Y	N	CJMCP	CT Arthrogram metacarpophalangeal joint 	MCP CT arthrogram		
182	419638003	Computed tomography arthrography of metacarpophalangeal joint (procedure)			CJMCP	1	I	X	Y	N	CJMCP	CT Arthrogram metacarpophalangeal joint	MCP CT arthrogram		
183	418940000	CT arthrogram of intratarsal joint			CJMTB	2	I	X	Y	N	CJMTB	CT Arthrogram mid tarsal Both	Mid tarsal CT arthrogram Both		
184	183381000000107	CT arthrogram of intratarsal joint			CJMTL		I	S	Y	N	CJMTL	CT Arthrogram Mid Tarsal Lt	Mid Tarsal CT Arthrogram Lt		
185	418940000	CT arthrogram of intratarsal joint			CJMTL	1	I	X	Y	N	CJMTL	CT Arthrogram mid tarsal Lt	Mid tarsal CT arthrogram Lt		
186	185341000000103	CT arthrogram of metatarsophalangeal joint			CJMTP		I	S	Y	N	CJMTP	CT Arthrogram metatarsophalangeal joint	MTP CT arthrogram		
187	418029005	Computed tomography arthrography of metatarsophalangeal joint (procedure)			CJMTP	1	I	X	Y	N	CJMTP	CT Arthrogram metatarsophalangeal joint	MTP CT arthrogram		
188	183381000000107	CT arthrogram of intratarsal joint			CJMTR		I	S	Y	N	CJMTR	CT Arthrogram Mid Tarsal Rt	Mid Tarsal CT Arthrogram R		
189	418940000	CT arthrogram of intratarsal joint			CJMTR	1	I	X	Y	N	CJMTR	CT Arthrogram mid tarsal Rt	Mid tarsal CT arthrogram R		
190	241583000	Computed tomography arthrogram of shoulder (procedure)	51440002	Right and left (qualifier value)	CJSHB	2	A		Y	N		CT Arthrogram shoulder Both	Shoulder CT arthrogram Both		
191	241583000	Computed tomography arthrogram of shoulder (procedure)	7771000	Left (qualifier value)	CJSHL	1	A		Y	N		CT Arthrogram shoulder Lt	Shoulder CT arthrogram Lt		
192	241583000	Computed tomography arthrogram of shoulder (procedure)	24028007	Right (qualifier value)	CJSHR	1	A		Y	N		CT Arthrogram shoulder Rt	Shoulder CT arthrogram Rt		
193	419925009	Computed tomography arthrography of subtalar joint (procedure)	51440002	Right and left (qualifier value)	CJSTB	2	I	X	Y	N	CJSTB	CT Arthrogram subtalar Both	Subtalar CT arthrogram Both	Hindfoot arthrogram CT Both	
194	419925009	Computed tomography arthrography of subtalar joint (procedure)	7771000	Left (qualifier value)	CJSTL	1	I	X	Y	N	CJSTL	CT Arthrogram subtalar Lt	Subtalar CT arthrogram Lt	Hindfoot arthrogram CT Lt	
