READ_CODE|TERM_60|TERM_ID|DESC_TYPE|RELEASE
Xah0A|Birth to 25 education, health and care plan|YazSI|P|2018-04-01
Xagvk|Prevention of delirium care plan|YazQN|P|2018-04-01
Xagxr|Verbal screening for tuberculosis|YazRL|P|2018-04-01
Xagon|Isotretinoin cumulative dose|YazP6|P|2018-04-01
Xagmm|Family contact facilitation|YazNq|P|2018-04-01
Xagxv|Recommendation to measure and record own blood pressure|YazRM|P|2018-04-01
Xagxq|Education about hepatitis|YazRK|P|2018-04-01
Xagml|Subsistence support given|YazNp|P|2018-04-01
Xagvl|Assessment for risk of delirium|YazQP|P|2018-04-01
Xagx4|Contraception care management|YazR7|P|2018-04-01
Xah0D|Birth to 25 education, health and care|YazSL|P|2018-04-01
Xah0F|Birth to 25 EHC in mainstream education setting|YazSN|P|2018-04-01
Xah0E|Birth to 25 EHC in special education setting|YazSM|P|2018-04-01
Xagzf|Provision of community outreach care for homeless|YazSd|P|2018-04-01
XagrT|Signposting to Diabetes UK|YazPi|P|2018-04-01
XagrU|Signposting to Diabetes UK Learning Zone|YazPj|P|2018-04-01
XagnP|Assistance with obtaining accommodation|YazOG|P|2018-04-01
XagzW|Assistance with GP practice registration|YazRz|P|2018-04-01
XagTa|Framingham CVD 10 year risk score calculator|YazPO|P|2018-04-01
XagnR|H/O asymptomatic human immunodeficiency virus infection|YazOJ|P|2018-04-01
Xagdj|Suspected typhus|YazML|P|2018-04-01
Xagcw|Suspected diphtheria|YazLW|P|2018-04-01
Xagcx|Suspected cholera|YazLX|P|2018-04-01
Xagcy|Suspected acute infectious hepatitis|YazLY|P|2018-04-01
Xagcz|Suspected anthrax|YazLZ|P|2018-04-01
Xagd0|Suspected botulism|YazLa|P|2018-04-01
Xagd1|Suspected brucellosis|YazLb|P|2018-04-01
Xagd2|Suspected acute poliomyelitis|YazLc|P|2018-04-01
Xagd3|Suspected infectious haemorrhagic diarrhoea|YazLd|P|2018-04-01
Xagd3|Suspected infectious bloody diarrhoea|YazLe|S|2018-04-01
Xagd4|Suspected tuberculosis|YazLf|P|2018-04-01
Xagd5|Suspected Legionnaires' disease|YazLg|P|2018-04-01
Xagd5|Suspected Legionella pneumonia|YazLh|S|2018-04-01
Xagd6|Suspected malaria|YazLi|P|2018-04-01
Xagd7|Suspected measles|YazLj|P|2018-04-01
Xagd8|Suspected mumps|YazLk|P|2018-04-01
Xagd9|Suspected plague|YazLl|P|2018-04-01
XagdA|Suspected rabies|YazLm|P|2018-04-01
XagdB|Suspected rubella|YazLn|P|2018-04-01
XagdB|Suspected German measles|YazLo|S|2018-04-01
XagdC|Suspected scarlet fever|YazLp|P|2018-04-01
XagdD|Suspected smallpox|YazLq|P|2018-04-01
XagdE|Suspected pertussis|YazLr|P|2018-04-01
XagdE|Suspected whooping cough|YazLs|S|2018-04-01
XagdF|Suspected yellow fever|YazLt|P|2018-04-01
XagdG|Suspected viral haemorrhagic fever|YazLu|P|2018-04-01
XagdG|Suspected VHF (viral haemorrhagic fever)|YazLv|S|2018-04-01
XagdH|Suspected severe acute respiratory syndrome|YazLw|P|2018-04-01
XagdH|Suspected SARS (severe acute respiratory syndrome)|YazLx|S|2018-04-01
Xagda|Suspected acute encephalitis|YazMA|P|2018-04-01
Xagdb|Suspected acute meningitis|YazMB|P|2018-04-01
Xagdc|Suspected typhoid fever|YazMC|P|2018-04-01
Xagdd|Suspected paratyphoid fever|YazMD|P|2018-04-01
Xagde|Suspected haemolytic uraemic syndrome|YazME|P|2018-04-01
Xagde|Suspected HUS (haemolytic uraemic syndrome)|YazMF|S|2018-04-01
Xagdf|Suspt invasive Group A beta-haemolytic streptococcal disease|YazMG|P|2018-04-01
Xagdg|Suspected leprosy|YazMH|P|2018-04-01
Xagdh|Suspected meningococcal septicaemia|YazMI|P|2018-04-01
Xagdh|Suspected meningococcaemia|YazMJ|S|2018-04-01
Xagdi|Suspected tetanus|YazMK|P|2018-04-01
XagY6|Discussed with psychiatrist|YazJu|P|2018-04-01
XagzX|Declined assistance with GP practice registration|YazS0|P|2018-04-01
XagnO|Referral to homeless advocacy service declined|YazOF|P|2018-04-01
XagnL|Referral to substance misuse service declined|YazOD|P|2018-04-01
XagnN|Referral to mental health service declined|YazOE|P|2018-04-01
Xagot|Human papillomavirus self-sample screening declined|YazP8|P|2018-04-01
