DI_Code	DI_Term	SCT_ID	SCT_Description	Primary_Code1	Primary_Term1	Primary_Code2	Primary_Term2	Primary_Code3	Primary_Term3	Primary_Code4	Primary_Term4	Y_Code1	Y_Term1	Y_Code2	Y_Term2	Y_Code3	Y_Term3	Z_code1	Z_Term1	Z_code2	Z_Term2	Z_code3	Z_Term3	Z_code4	Z_Term4	Z_code5	Z_Term5	O_Code	O_Term	Annotation
CANKB	CT Ankle Both	427061007	Computed tomography of bilateral ankles (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z85.6	Ankle joint	Z94.1	Bilateral operation									
CANKBJ	CT Guided injection ankle Both	430450004	Injection of ankle joint using computed tomography guidance (procedure)	W90.4	Injection into joint NEC							Y53.3	Approach to organ under computed tomography scan control					Z85.6	Ankle joint											
CANKL	CT Ankle Lt	426817008	Computerized tomography of left ankle (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z85.6	Ankle joint	Z94.3	Left sided operation									
CANKLJ	CT Guided injection ankle Left	430450004	Injection of ankle joint using computed tomography guidance (procedure)	W90.4	Injection into joint NEC							Y53.3	Approach to organ under computed tomography scan control					Z85.6	Ankle joint											
CANKR	CT Ankle Rt	426707009	Computerized tomography of right ankle (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z85.6	Ankle joint	Z94.2	Right sided operation									
CANKRJ	CT Guided injection ankle Right	430450004	Injection of ankle joint using computed tomography guidance (procedure)	W90.4	Injection into joint NEC							Y53.3	Approach to organ under computed tomography scan control					Z85.6	Ankle joint											
CANPD	DECT Angiogram pulmonary arteries	721044005	Dual energy computed tomography angiography of pulmonary artery (procedure)	U35.4	Computed tomography of pulmonary arteries							Y98.1	Radiology of one body area (or < 20 minutes)																	
CANRE	CT Angiogram renal	419559003	Computed tomography angiography of renal artery (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z37.1	Renal artery											
CAOTH	CT Aorta thoracic	241548004	Computed tomography of thoracic aorta (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z34.4	Thoracic aorta NEC											
CAOTHC	CT Aorta thoracic with contrast	444970007	Computed tomography of thoracic aorta with contrast (procedure)	U35.5	Computed tomography angiography							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z34.4	Thoracic aorta NEC											
CAOWH	CT Aorta whole	356221000000109	Computed tomography of whole aorta (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z34.9	Aorta NEC											
CAOWHC	CT Aorta whole with contrast	444969006	Computed tomography of entire aorta with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.2	Radiology of two body areas			Z34.9	Aorta NEC											
CAPAP	CT Angiogram pulmonary abdomen pelvis A	448766000	Computed tomography angiography of pulmonary and abdominal and pelvic arteries (procedure)	U21.2	Computed tomography NEC							Y98.3	Radiology of three body areas (or 20-40 minutes)					Z40.1	Pulmonary artery	Z92.6	Abdomen NEC							O16.1	Pelvis NEC	
CAPIOC	CT Abdo and pelvis with IV and oral Cont	764729002	Computed tomography of abdomen and pelvis with oral and intravenous contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.2	Radiology of two body areas			Z92.6	Abdomen NEC									O16.1	Pelvis NEC	
CAPLB	CT Arthroplasty planning lower limb B	703139003	Computed tomography of lower limb for arthroplasty planning (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z90.9	Leg region NEC											
CAPLL	CT Arthroplasty planning lower limb Lt	703139003	Computed tomography of lower limb for arthroplasty planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.9	Leg region NEC											
CAPLR	CT Arthroplasty planning lower limb Rt	703139003	Computed tomography of lower limb for arthroplasty planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.9	Leg region NEC											
CAPLVC	CT Abdomen and pelvis oral contrast only	726553009	Computed tomography of abdomen and pelvis with oral contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.2	Radiology of two body areas			Z92.6	Abdomen NEC									O16.1	Pelvis NEC	
CAPUG	CT Angiogram pulmonary	419225001	Computed tomography angiography of pulmonary artery (procedure)	U35.4	Computed tomography of pulmonary arteries							Y98.1	Radiology of one body area (or < 20 minutes)																	
CAREA	CT Angiogram renal and abdominal	339901000000104	Computed tomography angiography of renal artery and abdominal artery (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z37.1	Renal artery	Z92.6	Abdomen NEC									
CART	CT Angiogram	418272005	Computed tomography angiography (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)																	
CASCB	CT Angiogram subclavian Both	440513001	Computed tomography angiography of subclavian artery (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z36.2	Subclavian artery											
CASCL	CT Angiogram subclavian Left	440513001	Computed tomography angiography of subclavian artery (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z36.2	Subclavian artery											
CASCR	CT Angiogram subclavian Right	440513001	Computed tomography angiography of subclavian artery (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z36.2	Subclavian artery											
CASPNN	CT Guided aspiration	431749009	Aspiration using computed tomography guidance (procedure)	#HLT																										
CATHA	CT Angiography thorax and abdomen	912341000000108	Computed tomography angiography of thorax and abdomen (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z92.4	Chest NEC	Z92.6	Abdomen NEC									
CAULB	CT Angiogram upper limb Both	419277007	Computed tomography angiography of upper limb artery (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z89.9	Arm NEC											
CAULL	CT Angiogram upper limb Lt	419277007	Computed tomography angiography of upper limb artery (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.9	Arm NEC											
CAULR	CT Angiogram upper limb Rt	419277007	Computed tomography angiography of upper limb artery (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.9	Arm NEC											
CAXIB	CT Axilla Both	241544002	Computed tomography of axilla (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)															O16.3	Axilla NEC	
CAXIL	CT Axilla Left	241544002	Computed tomography of axilla (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)															O16.3	Axilla NEC	
CAXIR	CT Axilla Right	241544002	Computed tomography of axilla (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)															O16.3	Axilla NEC	
CBILI	CT Cholangiogram	419995000	Computed tomography cholangiogram (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z30.4	Bile duct NEC											
CBIOPB	CT Guided biopsy	277591006	Computed tomography guided biopsy (procedure)	X55.1	Biopsy of lesion of unspecified organ							Y53.3	Approach to organ under computed tomography scan control																	
CBNTA	CT Brain neck thorax Abdo and pelvis	440331001	Computed tomography of head, neck, thorax, abdomen and pelvis (procedure)	U21.2	Computed tomography NEC							Y98.5	Radiology of > 4 body areas (or > 40 minutes)					Z92.1	Head NEC	Z92.3	Neck NEC	Z92.4	Chest NEC	Z92.6	Abdomen NEC			O16.1	Pelvis NEC	
CBNTBC	CT Brain neck temporal bones Cont Both	1110811000000104	Computed tomography of bilateral temporal bones, brain and neck with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.2	Radiology of two body areas			Z63.3	Temporal bone	Z01.9	Tissue of brain NEC	Z92.3	Neck NEC							N
CBODW	CT Whole body	169072007	Computed tomography scan - whole body (procedure)	U01.1	Computed tomography of whole body							Y98.5	Radiology of > 4 body areas (or > 40 minutes)																	
CBODWC	CT Whole body with contrast	718527007	Computed tomography of whole body with contrast (procedure)	U01.1	Computed tomography of whole body							Y97.3	Radiology with post contrast	Y98.5	Radiology of > 4 body areas (or > 40 minutes)															
CBONEB	CT Guided biopsy bone	432371004	Biopsy of bone using computed tomography guidance (procedure)	W36.2	Needle biopsy of lesion of bone NEC							Y53.3	Approach to organ under computed tomography scan control																	
CBPLX	CT Brachial plexus	241545001	Computed tomography of brachial plexus (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z08.9	Brachial plexus NEC											
CBPLXC	CT Brachial plexus with contrast	431851001	Computed tomography of brachial plexus with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z08.9	Brachial plexus NEC											
CBRVO	CT Brain volume	443601000	Computed tomography for measurement of brain volume (procedure)	U05.1	Computed tomography of head							Y98.1	Radiology of one body area (or < 20 minutes)					Z01.9	Tissue of brain NEC											
CBRVOC	CT Brain volume with contrast	444037004	Computed tomography with contrast for measurement of brain volume (procedure)	U05.1	Computed tomography of head							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z01.9	Tissue of brain NEC											
CBSSK	CT Base of skull	432814005	Computed tomography of base of skull (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)															O33.1	Skull base	
CBSSKC	CT Base of skull with contrast	431619004	Computed tomography of base of skull with contrast (procedure)	U13.6	Computed tomography of bone							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)													O33.1	Skull base	
CBTBPR	CT Brachytherapy planning scan pelvis	715681001	Computed tomography of pelvis for brachytherapy planning (procedure)	U09.1	Computed tomography of pelvis							Y98.1	Radiology of one body area (or < 20 minutes)																	
CBTBQR	CT Brachytherapy planning scan prostate	715683003	Computed tomography of prostate for brachytherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z42.2	Prostate											
CBTBTR	CT Brachytherapy planning scan thorax	715682008	Computed tomography of thorax for brachytherapy planning (procedure)	U07.1	Computed tomography of chest							Y98.1	Radiology of one body area (or < 20 minutes)																	
CCAB	CT Guided coeliac plexus block	764381000000100	Neurolytic coeliac plexus block using computed tomography guidance (procedure)	A76.5	Chemical destruction of splanchnic sympathetic nerve							Y53.3	Approach to organ under computed tomography scan control																	
CCABD	CT Thorax and abdomen	418891003	Computed tomography of chest and abdomen (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z92.4	Chest NEC	Z92.6	Abdomen NEC									
CCABDC	CT Thorax and abdomen with contrast	429864007	Computed tomography of thorax and abdomen with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.2	Radiology of two body areas			Z92.4	Chest NEC	Z92.6	Abdomen NEC									
CCACLJ	CT Cementoplasty acetabulum Lt	430435008	Cementoplasty of acetabulum using computed tomography guidance (procedure)	W35.8	Other specified therapeutic puncture of bone							Y39.3	Injection of inert substance into organ NOC	Y53.3	Approach to organ under computed tomography scan control			Z75.6	Acetabulum											
CCACRJ	CT Cementoplasty acetabulum Rt	430435008	Cementoplasty of acetabulum using computed tomography guidance (procedure)	W35.8	Other specified therapeutic puncture of bone							Y39.3	Injection of inert substance into organ NOC	Y53.3	Approach to organ under computed tomography scan control			Z75.6	Acetabulum											
CCAGA	CT Cardiac gated	241547009	Computed tomography of heart (procedure)	U10.2	Cardiac computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)																	
CCAGAC	CT Cardiac gated with contrast	448431001	Gated computed tomography of heart with contrast (procedure)	U10.2	Cardiac computed tomography angiography							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z33.9	Heart NEC											
CCAGFC	CT Cardiac gated function with contrast	711371001	Gated computed tomography for cardiac function with contrast (procedure)	U10.2	Cardiac computed tomography angiography							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z33.9	Heart NEC											
CCALB	CT Calcaneus Both	420145009	Computed tomography of calcaneum (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z79.2	Os calcis											
CCALL	CT Calcaneus Lt	4161000087105	Computed tomography of left calcaneum (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z79.2	Os calcis	Z94.3	Left sided operation									
CCALR	CT Calcaneus Rt	4171000087101	Computed tomography of right calcaneum (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z79.2	Os calcis	Z94.2	Right sided operation									
CCARDC	CT Heart with contrast	764579002	Computed tomography of heart with contrast (procedure)	U10.2	Cardiac computed tomography angiography							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
CCASC	CT Cardiac Cor artery calcium scoring	426005005	Cardiac computed tomography for calcium scoring (procedure)	U10.1	Cardiac computed tomography for calcium scoring							Y98.1	Radiology of one body area (or < 20 minutes)																	
CCBONJ	CT Fluoroscopic cementoplasty	824731000000107	Cementoplasty using computed tomography and fluoroscopic guidance (procedure)	W35.8	Other specified therapeutic puncture of bone							Y39.3	Injection of inert substance into organ NOC	Y53.3	Approach to organ under computed tomography scan control	Y53.4	Approach to organ under fluoroscopic control													
CCERV	CT Cerebral ventriculography	719893002	Computed tomography of ventricle of brain (procedure)	U05.1	Computed tomography of head							Y98.1	Radiology of one body area (or < 20 minutes)					Z02.9	Ventricle of brain NEC											
CCGCCC	CT Cardiac gated complex congenital Cont	772821000000105	Gated computed tomography for complex congenital heart disease with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z33.9	Heart NEC											
CCGLLJ	CT Cementoplasty glenoid Lt	429872009	Cementoplasty of glenoid using computed tomography guidance (procedure)	W35.8	Other specified therapeutic puncture of bone							Y39.3	Injection of inert substance into organ NOC	Y53.3	Approach to organ under computed tomography scan control			Z68.4	Glenoid cavity of scapula											
CCGLRJ	CT Cementoplasty glenoid Rt	429872009	Cementoplasty of glenoid using computed tomography guidance (procedure)	W35.8	Other specified therapeutic puncture of bone							Y39.3	Injection of inert substance into organ NOC	Y53.3	Approach to organ under computed tomography scan control			Z68.4	Glenoid cavity of scapula											
CCHAP	CT Thorax abdomen and pelvis	418023006	Computed tomography of chest, abdomen and pelvis (procedure)	U21.2	Computed tomography NEC							Y98.3	Radiology of three body areas (or 20-40 minutes)					Z92.4	Chest NEC	Z92.6	Abdomen NEC							O16.1	Pelvis NEC	
CCHAPC	CT Thorax abdomen pelvis with contrast	433761009	Computed tomography of thorax, abdomen and pelvis with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.3	Radiology of three body areas (or 20-40 minutes)			Z92.4	Chest NEC	Z92.6	Abdomen NEC							O16.1	Pelvis NEC	
CCHEP	CT Thorax perfusion study	448345006	Computed tomography perfusion study of thorax (procedure)	U07.1	Computed tomography of chest							Y98.1	Radiology of one body area (or < 20 minutes)																	
CCHES	CT Thorax	169069000	Computed tomography of chest (procedure)	U07.1	Computed tomography of chest							Y98.1	Radiology of one body area (or < 20 minutes)																	
CCHESB	CT Guided biopsy thorax	440491000	Biopsy of thorax using computed tomography guidance (procedure)	T11.2	Diagnostic endoscopic examination of pleura and biopsy of lesion of intrathoracic organ NEC							Y53.3	Approach to organ under computed tomography scan control																	
CCHESC	CT Thorax with contrast	75385009	Computed tomography of thorax with contrast (procedure)	U07.1	Computed tomography of chest							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
CCHESD	CT Guided drainage thorax	439476007	Drainage of thorax using computed tomography guidance (procedure)	T12.2	Drainage of pleural cavity NEC							Y53.3	Approach to organ under computed tomography scan control																	
CCHETN	CT Guided aspiration thorax	440497001	Percutaneous aspiration of thorax using computed tomography guidance (procedure)	T12.3	Aspiration of pleural cavity							Y53.3	Approach to organ under computed tomography scan control																	
CCISTT	CT Cisternography	241524008	Computed tomography cisternography (procedure)	U05.1	Computed tomography of head							Y98.1	Radiology of one body area (or < 20 minutes)																	
CCKIBA	CT Pc cryotherapy tumour Abl kidney Both	609168009	Percutaneous cryoablation of neoplasm of kidney using computed tomography guidance (procedure)	M16.8	Other specified other operations on kidney							Y13.2	Cryotherapy to lesion of organ NOC	Y53.3	Approach to organ under computed tomography scan control															
CCKILA	CT Pc cryotherapy tumour Abl kidney Left	16550201000119105	Percutaneous cryoablation of neoplasm of left kidney using computed tomography guidance (procedure)	M16.8	Other specified other operations on kidney							Y13.2	Cryotherapy to lesion of organ NOC	Y53.3	Approach to organ under computed tomography scan control			Z94.3	Left sided operation											
CCKIRA	CT Pc cryotherapy tumour Abl kidney Rt	16550151000119102	Percutaneous cryoablation of neoplasm of right kidney using computed tomography guidance (procedure)	M16.8	Other specified other operations on kidney							Y13.2	Cryotherapy to lesion of organ NOC	Y53.3	Approach to organ under computed tomography scan control			Z94.2	Right sided operation											
CCLAB	CT Clavicle Both	432552002	Computed tomography of clavicle (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z68.1	Clavicle											
CCLAL	CT Clavicle Lt	4191000087102	Computed tomography of left clavicle (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z68.1	Clavicle	Z94.3	Left sided operation									
CCLAR	CT Clavicle Rt	4201000087100	Computed tomography of right clavicle (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z68.1	Clavicle	Z94.2	Right sided operation									
CCLIVA	CT Pc cryotherapy tumour ablation liver	609169001	Percutaneous cryoablation of neoplasm of liver using computed tomography guidance (procedure)	J12.8	Other specified other therapeutic percutaneous operations on liver							Y13.2	Cryotherapy to lesion of organ NOC	Y53.3	Approach to organ under computed tomography scan control															
CCNB	CT Guided core needle biopsy	444796003	Core needle biopsy using computed tomography guidance (procedure)	#HLT																										
CCNRTJ	CT Guided nerve root injection cervical	430445005	Injection of cervical spinal nerve root using computed tomography guidance (procedure)	A57.7	Injection of therapeutic substance around spinal nerve root							Y53.3	Approach to organ under computed tomography scan control					Z07.1	Spinal nerve root of cervical spine											
CCOCB	CT Cochlea Both	811141000000107	Computed tomography of cochlea (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z21.4	Cochlea											
CCOCL	CT Cochlea Left	811141000000107	Computed tomography of cochlea (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z21.4	Cochlea											
CCOCR	CT Cochlea Right	811141000000107	Computed tomography of cochlea (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z21.4	Cochlea											
CCOCX	CT Coccyx	430451000	Computed tomography of coccyx (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z75.7	Coccyx											
CCOIM	CT Cochlear implant	445959007	Computed tomography of cochlear implant (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z21.4	Cochlea											
CCOLO	CT Colon	425666002	Computed tomography of colon (procedure)	U17.5	Computed tomography of colon							Y98.1	Radiology of one body area (or < 20 minutes)																	
CCOLOC	CT Colon with contrast	445954002	Computed tomography of colon using intravenous contrast (procedure)	U17.5	Computed tomography of colon							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
CCORGC	CT Angio coronary artery graft	450506009	Computed tomography angiography of coronary artery bypass graft (procedure)	U10.2	Cardiac computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z33.4	Coronary artery											
CCPP	CT Cranioplasty planning	432904000	Computed tomography of head for cranioplasty planning (procedure)	U05.1	Computed tomography of head							Y98.1	Radiology of one body area (or < 20 minutes)																	
CCRLBA	CT Pc cryotherapy tumour ablation lung B	609171001	Percutaneous cryoablation of neoplasm of lung using computed tomography guidance (procedure)	E59.8	Other specified other operations on lung							Y13.2	Cryotherapy to lesion of organ NOC	Y53.3	Approach to organ under computed tomography scan control															
CCRLLA	CT Pc cryotherapy tumour Abl lung Left	609171001	Percutaneous cryoablation of neoplasm of lung using computed tomography guidance (procedure)	E59.8	Other specified other operations on lung							Y13.2	Cryotherapy to lesion of organ NOC	Y53.3	Approach to organ under computed tomography scan control															
